Date,PX_LAST
#NAME?,566.1917
2012-05-09,392.93105
2012-05-08,395.66434
2012-05-07,397.79328
2012-05-04,401.92398
2012-05-03,402.67493
2012-05-02,409.2087
2012-05-01,410.2452
2012-04-30,408.20221
2012-04-27,409.1167
2012-04-26,407.22078
2012-04-25,409.19915
2012-04-24,407.52084
2012-04-23,408.06395
2012-04-20,416.94603
2012-04-19,422.21122
2012-04-18,426.25808
2012-04-17,429.35241
2012-04-16,423.9544
2012-04-13,424.18076
2012-04-12,428.25833
2012-04-11,428.41932
2012-04-10,425.57227
2012-04-09,427.65062
2012-04-06,433.70733
2012-04-05,434.58647
2012-04-04,430.40674
2012-04-03,433.5814
2012-04-02,435.09903
2012-03-30,436.07141
2012-03-29,437.76209
2012-03-28,440.02315
2012-03-27,449.00877
2012-03-26,449.10017
2012-03-23,450.36259
2012-03-22,448.9045
2012-03-21,450.72064
2012-03-20,455.12032
2012-03-19,456.42214
2012-03-16,462.84555
2012-03-15,461.97191
2012-03-14,460.64057
2012-03-13,460.97986
2012-03-12,451.7176
2012-03-09,457.97469
2012-03-08,448.52982
2012-03-07,447.67876
2012-03-06,450.09676
2012-03-05,458.08898
2012-03-02,464.73643
2012-03-01,459.40099
2012-02-29,458.65344
2012-02-28,463.45413
2012-02-27,461.1369
2012-02-24,463.31835
2012-02-23,473.40586
2012-02-22,489.32382
2012-02-21,493.61815
2012-02-20,492.39338
2012-02-17,492.01992
2012-02-16,484.18544
2012-02-15,485.48986
2012-02-14,485.23868
2012-02-13,489.91854
2012-02-10,494.85205
2012-02-09,501.0012
2012-02-08,482.31779
2012-02-07,477.54171
2012-02-06,476.64922
2012-02-03,474.10168
2012-02-02,466.81522
2012-02-01,460.96837
2012-01-31,459.10435
2012-01-30,460.992
2012-01-27,465.92326
2012-01-26,458.06526
2012-01-25,453.87776
2012-01-24,453.75657
2012-01-23,458.47583
2012-01-20,461.88323
2012-01-19,462.34225
2012-01-18,469.65432
2012-01-17,464.68586
2012-01-16,460.43336
2012-01-13,460.93721
2012-01-12,467.34541
2012-01-11,464.25563
